,group,col_num,original_col_name,short_col_name,data_type,transf_col_name,values_desc,values,categorical_values
41,HOBBIES & INTERESTS,41,Poetry reading,Reading,Integer,reading,Not interested 1-2-3-4-5 Very interested,"1,2,3,4,5",
42,HOBBIES & INTERESTS,42,Geography,Geography,Integer,geography,Not interested 1-2-3-4-5 Very interested,"1,2,3,4,5",
43,HOBBIES & INTERESTS,43,Foreign languages,Foreign languages,Integer,foreign_languages,Not interested 1-2-3-4-5 Very interested,"1,2,3,4,5",
44,HOBBIES & INTERESTS,44,Medicine,Medicine,Integer,medicine,Not interested 1-2-3-4-5 Very interested,"1,2,3,4,5",
45,HOBBIES & INTERESTS,45,Law,Law,Integer,law,Not interested 1-2-3-4-5 Very interested,"1,2,3,4,5",
46,HOBBIES & INTERESTS,46,Cars,Cars,Integer,cars,Not interested 1-2-3-4-5 Very interested,"1,2,3,4,5",
47,HOBBIES & INTERESTS,47,Art,Art exhibitions,Integer,art_exhibitions,Not interested 1-2-3-4-5 Very interested,"1,2,3,4,5",
48,HOBBIES & INTERESTS,48,Religion,Religion,Integer,religion,Not interested 1-2-3-4-5 Very interested,"1,2,3,4,5",
49,HOBBIES & INTERESTS,49,Outdoor activities,"Countryside, outdoors",Integer,countryside_outdoors,Not interested 1-2-3-4-5 Very interested,"1,2,3,4,5",
50,HOBBIES & INTERESTS,50,Dancing,Dancing,Integer,dancing,Not interested 1-2-3-4-5 Very interested,"1,2,3,4,5",
51,HOBBIES & INTERESTS,51,Playing musical instruments,Musical instruments,Integer,musical_instruments,Not interested 1-2-3-4-5 Very interested,"1,2,3,4,5",
52,HOBBIES & INTERESTS,52,Poetry writing,Writing,Integer,writing,Not interested 1-2-3-4-5 Very interested,"1,2,3,4,5",
53,HOBBIES & INTERESTS,53,Sport and leisure activities,Passive sport,Integer,passive_sport,Not interested 1-2-3-4-5 Very interested,"1,2,3,4,5",
54,HOBBIES & INTERESTS,54,Sport at competitive level,Active sport,Integer,active_sport,Not interested 1-2-3-4-5 Very interested,"1,2,3,4,5",
55,HOBBIES & INTERESTS,55,Gardening,Gardening,Integer,gardening,Not interested 1-2-3-4-5 Very interested,"1,2,3,4,5",
56,HOBBIES & INTERESTS,56,Celebrity lifestyle,Celebrities,Integer,celebrities,Not interested 1-2-3-4-5 Very interested,"1,2,3,4,5",
57,HOBBIES & INTERESTS,57,Shopping,Shopping,Integer,shopping,Not interested 1-2-3-4-5 Very interested,"1,2,3,4,5",
58,HOBBIES & INTERESTS,58,Science and technology,Science and technology,Integer,science_and_technology,Not interested 1-2-3-4-5 Very interested,"1,2,3,4,5",
59,HOBBIES & INTERESTS,59,Theatre,Theatre,Integer,theatre,Not interested 1-2-3-4-5 Very interested,"1,2,3,4,5",
60,HOBBIES & INTERESTS,60,Socializing,Fun with friends,Integer,fun_with_friends,Not interested 1-2-3-4-5 Very interested,"1,2,3,4,5",
61,HOBBIES & INTERESTS,61,Adrenaline sports,Adrenaline sports,Integer,adrenaline_sports,Not interested 1-2-3-4-5 Very interested,"1,2,3,4,5",
62,HOBBIES & INTERESTS,62,Pets,Pets,Integer,pets,Not interested 1-2-3-4-5 Very interested,"1,2,3,4,5",
63,PHOBIAS,63,Flying,Flying,Integer,flying,Not afraid at all 1-2-3-4-5 Very afraid of,"1,2,3,4,5",
64,PHOBIAS,64,"Thunder, lightning",Storm,Integer,storm,Not afraid at all 1-2-3-4-5 Very afraid of,"1,2,3,4,5",
65,PHOBIAS,65,Darkness,Darkness,Integer,darkness,Not afraid at all 1-2-3-4-5 Very afraid of,"1,2,3,4,5",
66,PHOBIAS,66,Heights,Heights,Integer,heights,Not afraid at all 1-2-3-4-5 Very afraid of,"1,2,3,4,5",
67,PHOBIAS,67,Spiders,Spiders,Integer,spiders,Not afraid at all 1-2-3-4-5 Very afraid of,"1,2,3,4,5",
68,PHOBIAS,68,Snakes,Snakes,Integer,snakes,Not afraid at all 1-2-3-4-5 Very afraid of,"1,2,3,4,5",
69,PHOBIAS,69,"Rats, mice",Rats,Integer,rats,Not afraid at all 1-2-3-4-5 Very afraid of,"1,2,3,4,5",
70,PHOBIAS,70,Ageing,Ageing,Integer,ageing,Not afraid at all 1-2-3-4-5 Very afraid of,"1,2,3,4,5",
71,PHOBIAS,71,Dangerous dogs,Dangerous dogs,Integer,dangerous_dogs,Not afraid at all 1-2-3-4-5 Very afraid of,"1,2,3,4,5",
72,PHOBIAS,72,Public speaking,Fear of public speaking,Integer,fear_of_public_speaking,Not afraid at all 1-2-3-4-5 Very afraid of,"1,2,3,4,5",
73,HEALTH HABITS,73,Smoking habits,Smoking,Categorical,smoking,Never smoked - Tried smoking - Former smoker - Current smoker,"1,2,3,4","never smoked, tried smoking, former smoker, current smoker"
74,HEALTH HABITS,74,Drinking,Alcohol,Categorical,alcohol,Never - Social drinker - Drink a lot,"1,2,3","never, social drinker, drink a lot"
75,HEALTH HABITS,75,I live a very healthy lifestyle.,Healthy eating,Integer,healthy_eating,Strongly disagree 1-2-3-4-5 Strongly agree,"1,2,3,4,5",
76,PERSONALITY TRAITS,76,I take notice of what goes on around me.,Daily events,Integer,daily_events,Strongly disagree 1-2-3-4-5 Strongly agree,"1,2,3,4,5",
77,PERSONALITY TRAITS,77,I try to do tasks as soon as possible and not leave them until last minute.,Prioritising workload,Integer,prioritising_workload,Strongly disagree 1-2-3-4-5 Strongly agree,"1,2,3,4,5",
78,PERSONALITY TRAITS,78,I always make a list so I don't forget anything.,Writing notes,Integer,writing_notes,Strongly disagree 1-2-3-4-5 Strongly agree,"1,2,3,4,5",
79,PERSONALITY TRAITS,79,I often study or work even in my spare time.,Workaholism,Integer,workaholism,Strongly disagree 1-2-3-4-5 Strongly agree,"1,2,3,4,5",
80,PERSONALITY TRAITS,80,I look at things from all different angles before I go ahead.,Thinking ahead,Integer,thinking_ahead,Strongly disagree 1-2-3-4-5 Strongly agree,"1,2,3,4,5",
81,PERSONALITY TRAITS,81,I believe that bad people will suffer one day and good people will be rewarded.,Final judgement,Integer,final_judgement,Strongly disagree 1-2-3-4-5 Strongly agree,"1,2,3,4,5",
82,PERSONALITY TRAITS,82,I am reliable at work and always complete all tasks given to me.,Reliability,Integer,reliability,Strongly disagree 1-2-3-4-5 Strongly agree,"1,2,3,4,5",
83,PERSONALITY TRAITS,83,I always keep my promises.,Keeping promises,Integer,keeping_promises,Strongly disagree 1-2-3-4-5 Strongly agree,"1,2,3,4,5",
84,PERSONALITY TRAITS,84,I can fall for someone very quickly and then completely lose interest.,Loss of interest,Integer,loss_of_interest,Strongly disagree 1-2-3-4-5 Strongly agree,"1,2,3,4,5",
85,PERSONALITY TRAITS,85,I would rather have lots of friends than lots of money.,Friends versus money,Integer,friends_versus_money,Strongly disagree 1-2-3-4-5 Strongly agree,"1,2,3,4,5",
86,PERSONALITY TRAITS,86,I always try to be the funniest one.,Funniness,Integer,funniness,Strongly disagree 1-2-3-4-5 Strongly agree,"1,2,3,4,5",
87,PERSONALITY TRAITS,87,I can be two faced sometimes.,Fake,Integer,fake,Strongly disagree 1-2-3-4-5 Strongly agree,"1,2,3,4,5",
88,PERSONALITY TRAITS,88,I damaged things in the past when angry.,Criminal damage,Integer,criminal_damage,Strongly disagree 1-2-3-4-5 Strongly agree,"1,2,3,4,5",
89,PERSONALITY TRAITS,89,I take my time to make decisions.,Decision making,Integer,decision_making,Strongly disagree 1-2-3-4-5 Strongly agree,"1,2,3,4,5",
90,PERSONALITY TRAITS,90,I always try to vote in elections.,Elections,Integer,elections,Strongly disagree 1-2-3-4-5 Strongly agree,"1,2,3,4,5",
91,PERSONALITY TRAITS,91,I often think about and regret the decisions I make.,Self-criticism,Integer,selfcriticism,Strongly disagree 1-2-3-4-5 Strongly agree,"1,2,3,4,5",
92,PERSONALITY TRAITS,92,I can tell if people listen to me or not when I talk to them.,Judgment calls,Integer,judgment_calls,Strongly disagree 1-2-3-4-5 Strongly agree,"1,2,3,4,5",
93,PERSONALITY TRAITS,93,I am a hypochondriac.,Hypochondria,Integer,hypochondria,Strongly disagree 1-2-3-4-5 Strongly agree,"1,2,3,4,5",
94,PERSONALITY TRAITS,94,I am emphatetic person.,Empathy,Integer,empathy,Strongly disagree 1-2-3-4-5 Strongly agree,"1,2,3,4,5",
95,PERSONALITY TRAITS,95,I eat because I have to. I don't enjoy food and eat as fast as I can.,Eating to survive,Integer,eating_to_survive,Strongly disagree 1-2-3-4-5 Strongly agree,"1,2,3,4,5",
96,PERSONALITY TRAITS,96,I try to give as much as I can to other people at Christmas.,Giving,Integer,giving,Strongly disagree 1-2-3-4-5 Strongly agree,"1,2,3,4,5",
97,PERSONALITY TRAITS,97,I don't like seeing animals suffering.,Compassion to animals,Integer,compassion_to_animals,Strongly disagree 1-2-3-4-5 Strongly agree,"1,2,3,4,5",
98,PERSONALITY TRAITS,98,I look after things I have borrowed from others.,Borrowed stuff,Integer,borrowed_stuff,Strongly disagree 1-2-3-4-5 Strongly agree,"1,2,3,4,5",
99,PERSONALITY TRAITS,99,I feel lonely in life.,Loneliness,Integer,loneliness,Strongly disagree 1-2-3-4-5 Strongly agree,"1,2,3,4,5",
100,PERSONALITY TRAITS,100,I used to cheat at school.,Cheating in school,Integer,cheating_in_school,Strongly disagree 1-2-3-4-5 Strongly agree,"1,2,3,4,5",
101,PERSONALITY TRAITS,101,I worry about my health.,Health,Integer,health,Strongly disagree 1-2-3-4-5 Strongly agree,"1,2,3,4,5",
